platform,cascade_id,label,size
higgs,higgs_wcc_0,science_news,223833
higgs,higgs_wcc_1,science_news,69
higgs,higgs_wcc_2,science_news,49
higgs,higgs_wcc_3,science_news,29
higgs,higgs_wcc_4,science_news,28
higgs,higgs_wcc_5,science_news,25
higgs,higgs_wcc_6,science_news,25
higgs,higgs_wcc_7,science_news,25
higgs,higgs_wcc_8,science_news,24
higgs,higgs_wcc_9,science_news,22
higgs,higgs_wcc_10,science_news,21
higgs,higgs_wcc_11,science_news,20
higgs,higgs_wcc_12,science_news,19
higgs,higgs_wcc_13,science_news,19
higgs,higgs_wcc_14,science_news,18
higgs,higgs_wcc_15,science_news,18
higgs,higgs_wcc_16,science_news,18
higgs,higgs_wcc_17,science_news,18
higgs,higgs_wcc_18,science_news,18
higgs,higgs_wcc_19,science_news,18
higgs,higgs_wcc_20,science_news,18
higgs,higgs_wcc_21,science_news,17
higgs,higgs_wcc_22,science_news,17
higgs,higgs_wcc_23,science_news,17
higgs,higgs_wcc_24,science_news,17
higgs,higgs_wcc_25,science_news,16
higgs,higgs_wcc_26,science_news,16
higgs,higgs_wcc_27,science_news,15
higgs,higgs_wcc_28,science_news,15
higgs,higgs_wcc_29,science_news,15
higgs,higgs_wcc_30,science_news,14
higgs,higgs_wcc_31,science_news,14
higgs,higgs_wcc_32,science_news,14
higgs,higgs_wcc_33,science_news,14
higgs,higgs_wcc_34,science_news,14
higgs,higgs_wcc_35,science_news,13
higgs,higgs_wcc_36,science_news,13
higgs,higgs_wcc_37,science_news,13
higgs,higgs_wcc_38,science_news,13
higgs,higgs_wcc_39,science_news,12
higgs,higgs_wcc_40,science_news,12
higgs,higgs_wcc_41,science_news,12
higgs,higgs_wcc_42,science_news,12
higgs,higgs_wcc_43,science_news,12
higgs,higgs_wcc_44,science_news,12
higgs,higgs_wcc_45,science_news,12
higgs,higgs_wcc_46,science_news,12
higgs,higgs_wcc_47,science_news,12
higgs,higgs_wcc_48,science_news,11
higgs,higgs_wcc_49,science_news,11
higgs,higgs_wcc_50,science_news,11
higgs,higgs_wcc_51,science_news,11
higgs,higgs_wcc_52,science_news,11
higgs,higgs_wcc_53,science_news,11
higgs,higgs_wcc_54,science_news,11
higgs,higgs_wcc_55,science_news,11
higgs,higgs_wcc_56,science_news,11
higgs,higgs_wcc_57,science_news,11
higgs,higgs_wcc_58,science_news,11
higgs,higgs_wcc_59,science_news,11
higgs,higgs_wcc_60,science_news,10
higgs,higgs_wcc_61,science_news,10
higgs,higgs_wcc_62,science_news,10
higgs,higgs_wcc_63,science_news,10
higgs,higgs_wcc_64,science_news,10
higgs,higgs_wcc_65,science_news,10
higgs,higgs_wcc_66,science_news,10
higgs,higgs_wcc_67,science_news,10
higgs,higgs_wcc_68,science_news,10
higgs,higgs_wcc_69,science_news,10
higgs,higgs_wcc_70,science_news,10
higgs,higgs_wcc_71,science_news,10
higgs,higgs_wcc_72,science_news,10
higgs,higgs_wcc_73,science_news,10
higgs,higgs_wcc_74,science_news,10
higgs,higgs_wcc_75,science_news,10
higgs,higgs_wcc_76,science_news,10
higgs,higgs_wcc_77,science_news,10
higgs,higgs_wcc_78,science_news,10
higgs,higgs_wcc_79,science_news,10
higgs,higgs_wcc_80,science_news,10
higgs,higgs_wcc_81,science_news,10
higgs,higgs_wcc_82,science_news,10
