platform,cascade_id,label,size
higgs_pre,higgs_pre_wcc_0,science_news,21422
higgs_pre,higgs_pre_wcc_1,science_news,137
higgs_pre,higgs_pre_wcc_2,science_news,109
higgs_pre,higgs_pre_wcc_3,science_news,32
higgs_pre,higgs_pre_wcc_4,science_news,26
higgs_pre,higgs_pre_wcc_5,science_news,24
higgs_pre,higgs_pre_wcc_6,science_news,20
higgs_pre,higgs_pre_wcc_7,science_news,17
higgs_pre,higgs_pre_wcc_8,science_news,17
higgs_pre,higgs_pre_wcc_9,science_news,17
higgs_pre,higgs_pre_wcc_10,science_news,14
higgs_pre,higgs_pre_wcc_11,science_news,14
higgs_pre,higgs_pre_wcc_12,science_news,14
higgs_pre,higgs_pre_wcc_13,science_news,13
higgs_pre,higgs_pre_wcc_14,science_news,13
higgs_pre,higgs_pre_wcc_15,science_news,13
higgs_pre,higgs_pre_wcc_16,science_news,13
higgs_pre,higgs_pre_wcc_17,science_news,12
higgs_pre,higgs_pre_wcc_18,science_news,12
higgs_pre,higgs_pre_wcc_19,science_news,12
higgs_pre,higgs_pre_wcc_20,science_news,12
higgs_pre,higgs_pre_wcc_21,science_news,11
higgs_pre,higgs_pre_wcc_22,science_news,11
higgs_pre,higgs_pre_wcc_23,science_news,11
higgs_pre,higgs_pre_wcc_24,science_news,11
higgs_pre,higgs_pre_wcc_25,science_news,11
higgs_pre,higgs_pre_wcc_26,science_news,11
higgs_pre,higgs_pre_wcc_27,science_news,11
higgs_pre,higgs_pre_wcc_28,science_news,11
higgs_pre,higgs_pre_wcc_29,science_news,11
higgs_pre,higgs_pre_wcc_30,science_news,11
higgs_pre,higgs_pre_wcc_31,science_news,10
higgs_pre,higgs_pre_wcc_32,science_news,10
higgs_pre,higgs_pre_wcc_33,science_news,10
higgs_pre,higgs_pre_wcc_34,science_news,10
higgs_pre,higgs_pre_wcc_35,science_news,10
higgs_pre,higgs_pre_wcc_36,science_news,10
higgs_pre,higgs_pre_wcc_37,science_news,9
higgs_pre,higgs_pre_wcc_38,science_news,9
higgs_pre,higgs_pre_wcc_39,science_news,9
higgs_pre,higgs_pre_wcc_40,science_news,9
higgs_pre,higgs_pre_wcc_41,science_news,9
higgs_pre,higgs_pre_wcc_42,science_news,9
higgs_pre,higgs_pre_wcc_43,science_news,9
higgs_pre,higgs_pre_wcc_44,science_news,9
higgs_pre,higgs_pre_wcc_45,science_news,9
higgs_pre,higgs_pre_wcc_46,science_news,9
higgs_pre,higgs_pre_wcc_47,science_news,9
higgs_pre,higgs_pre_wcc_48,science_news,8
higgs_pre,higgs_pre_wcc_49,science_news,8
higgs_pre,higgs_pre_wcc_50,science_news,8
higgs_pre,higgs_pre_wcc_51,science_news,8
higgs_pre,higgs_pre_wcc_52,science_news,8
higgs_pre,higgs_pre_wcc_53,science_news,8
higgs_pre,higgs_pre_wcc_54,science_news,8
higgs_pre,higgs_pre_wcc_55,science_news,8
higgs_pre,higgs_pre_wcc_56,science_news,8
higgs_pre,higgs_pre_wcc_57,science_news,8
higgs_pre,higgs_pre_wcc_58,science_news,8
higgs_pre,higgs_pre_wcc_59,science_news,8
higgs_pre,higgs_pre_wcc_60,science_news,8
higgs_pre,higgs_pre_wcc_61,science_news,7
higgs_pre,higgs_pre_wcc_62,science_news,7
higgs_pre,higgs_pre_wcc_63,science_news,7
higgs_pre,higgs_pre_wcc_64,science_news,7
higgs_pre,higgs_pre_wcc_65,science_news,7
higgs_pre,higgs_pre_wcc_66,science_news,7
higgs_pre,higgs_pre_wcc_67,science_news,7
higgs_pre,higgs_pre_wcc_68,science_news,7
higgs_pre,higgs_pre_wcc_69,science_news,7
higgs_pre,higgs_pre_wcc_70,science_news,7
higgs_pre,higgs_pre_wcc_71,science_news,7
higgs_pre,higgs_pre_wcc_72,science_news,7
higgs_pre,higgs_pre_wcc_73,science_news,7
higgs_pre,higgs_pre_wcc_74,science_news,7
higgs_pre,higgs_pre_wcc_75,science_news,7
higgs_pre,higgs_pre_wcc_76,science_news,7
higgs_pre,higgs_pre_wcc_77,science_news,7
